row_no,jobref,position,company,jobdesc_snippet,opening_date,closing_date,town,row_type
2749.0,729535,Accountant - General Ledger (1),Hela Clothing (Pvt) Ltd,Please refer the advert.,Wed Jan 22 2020,,Thu Jan 30 2020,yellow
2750.0,729530,Senior Software Engineer - React Native (1),Axiata Digital Labs (Pvt) Ltd,Please refer the advertisement,Wed Jan 22 2020,,Wed Feb 05 2020,yellow
2751.0,729520,DevOps Engineer (1),Axiata Digital Labs (Pvt) Ltd,Please refer the advertisement,Wed Jan 22 2020,,Wed Feb 05 2020,yellow
2752.0,729511,Data Engineers (1),Axiata Digital Labs (Pvt) Ltd,Please refer the advertisement,Wed Jan 22 2020,,Wed Feb 05 2020,yellow
2753.0,729323,Villa Executive,Cantaloupe House,Please refer the advertisement,Wed Jan 22 2020,,Tue Feb 04 2020,yellow
2754.0,729264,Beauty Therapist,Silvacos (Pvt) Ltd,Please refer the advertisement,Wed Jan 22 2020,,Tue Feb 04 2020,yellow
2755.0,729247,Production Manager / IE Executive,Chiefway Katunayake (Pvt) Ltd,Please refer the advertisement,Wed Jan 22 2020,,Tue Feb 04 2020,yellow
2756.0,729179,Executive - Operations (Lighting Solutions),DIMO (Pvt) Ltd,Please refer the advertisement,Wed Jan 22 2020,,Tue Feb 04 2020,yellow
2757.0,729174,Sales Executive - Medical Solutions,DIMO (Pvt) Ltd,Please refer the advertisement,Wed Jan 22 2020,,Tue Feb 04 2020,yellow
2758.0,728739,Cashier cum Waiter (1),Teardrop Boutique Management,Please refer the advert,Wed Jan 22 2020,,Thu Feb 20 2020,yellow
2759.0,728686,Logistics & Finance Assistant (Colombo Based),The HALO Trust,Please refer the advertisement,Wed Jan 22 2020,,Mon Feb 03 2020,yellow
2760.0,728472,Commis Vacancies (1),Teardrop Boutique Management,Please refer the advert,Wed Jan 22 2020,,Tue Feb 18 2020,yellow
2761.0,728385,Restaurant Vacancies,Company Name Withheld,Please refer the advertisement,Wed Jan 22 2020,,Fri Jan 31 2020,yellow
2762.0,728353,Teacher (IELTS/PTE/TOEFL & General English) ? Female/Male,World Wide Visa Consultancy (Pvt) Ltd,Please refer the advertisement,Wed Jan 22 2020,,Fri Jan 31 2020,yellow
2763.0,728352,Receptionist (Female),World Wide Visa Consultancy (Pvt) Ltd,Please refer the advertisement,Wed Jan 22 2020,,Fri Jan 31 2020,yellow
2764.0,728351,Client Relations Executive (Female),World Wide Visa Consultancy (Pvt) Ltd,Please refer the advertisement,Wed Jan 22 2020,,Fri Jan 31 2020,yellow
2765.0,728350,IT Officer (Male),World Wide Visa Consultancy (Pvt) Ltd,Please refer the advertisement,Wed Jan 22 2020,,Fri Jan 31 2020,yellow
2766.0,727459,ERP Executive,HyperJet Technologies (Pvt) Ltd,Past experience on ERP,Wed Jan 22 2020,,Thu Jan 30 2020,yellow
2767.0,726443,Executive - Industrial Engineering (1),Brandix Fast Fashion,Please refer the advertisement,Wed Jan 22 2020,,Thu Feb 13 2020,yellow
2768.0,726438,Assistant Manager - Production Control (1),Brandix Fast Fashion,Please refer the advertisement,Wed Jan 22 2020,,Thu Feb 13 2020,yellow
2769.0,725844,Sales Associates,Talentshell,Please refer the advertisement,Wed Jan 22 2020,,Sun Feb 09 2020,yellow
2770.0,725245,Professional Wealth Planner,Company Name Withheld,Please refer the advertisement,Wed Jan 22 2020,,Sat Feb 08 2020,yellow
2771.0,724204,Social Media Analyst (1),eMarketingEye (Pvt) Limited,1+ years of Experience in handling social media advertising campaigns will be a definite advantage,Wed Jan 22 2020,,Fri Jan 31 2020,yellow
2772.0,723331,Recovery officer (1),Sunshine Healthcare Lanka Ltd,please refer the advertisement,Wed Jan 22 2020,,Sun Feb 02 2020,yellow
2773.0,687263,Senior Liquid (Shopify) Developer (1),Eyepax IT Consulting (Pvt) Ltd,Please refer to the advertisement ...,Wed Jan 22 2020,,Fri Jan 31 2020,yellow
2774.0,686597,.NET Engineer (3),Eyepax IT Consulting (Pvt) Ltd,Please refer the advertisement. ....,Wed Jan 22 2020,,Fri Jan 31 2020,yellow
2775.0,729505,Technical Officer - Network Quality Assurance (1),Dialog Axiata PLC,Please refer advertisement,Tue Jan 21 2020,,Fri Feb 28 2020,yellow
2776.0,729501,Accounts Assistant - Finance & Accounting (1),DPMC Assetline Holdings (Pvt) Ltd,Please refer the advert,Tue Jan 21 2020,,Tue Feb 04 2020,yellow
2777.0,729496,Account Assistant (1),Softlogic Holdings PLC,Minimum 1 year experience,Tue Jan 21 2020,,Fri Jan 31 2020,yellow
2778.0,729491,Captain (4),Softlogic Holdings PLC,Minimum 5 year experience in reputed Hotel or Restaurants.,Tue Jan 21 2020,,Fri Jan 31 2020,yellow
2779.0,729475,Sales Representative - Ezy Rice (1),Keells Food Products PLC,Please refer the job advert,Tue Jan 21 2020,,Tue Feb 04 2020,yellow
2780.0,729473,Automobile Service Advisor / Foreman,Advance Car Audio (Pvt) Ltd,Please refer the advertisement,Tue Jan 21 2020,,Tue Feb 04 2020,yellow
2781.0,729471,Senior Tour Executive (Male),Reliance Tours Colombo (Pvt) Ltd,Please refer the advertisement,Tue Jan 21 2020,,Tue Feb 04 2020,yellow
2782.0,729469,Female Cashier cum Account Assistant,Advance Car Audio (Pvt) Ltd,Please refer the advertisement,Tue Jan 21 2020,,Tue Feb 04 2020,yellow
2783.0,729468,Market Development Officer / Business Promotion Officers (Colombo / Rathmalana / Eastern Province),N.Vaitilingam & Co.(Pvt) Ltd,Please refer the advertisement,Tue Jan 21 2020,,Tue Feb 04 2020,yellow
2784.0,729467,Sales Representative (1),Keells Food Products PLC,Please refer the job advert,Tue Jan 21 2020,,Tue Feb 04 2020,yellow
2785.0,729463,Graphic Designer,Kent Trophies & Awards (Pvt) Ltd,Please refer the advertisement,Tue Jan 21 2020,,Tue Feb 04 2020,yellow
2786.0,729462,Senior Accounts Executive Vacancy cum Collection Head,Company Name Withheld,Please refer the advertisement,Tue Jan 21 2020,,Tue Feb 04 2020,yellow
2787.0,729461,Assistant Accountant,Company Name Withheld,Please refer the advertisement,Tue Jan 21 2020,,Tue Feb 04 2020,yellow
2788.0,729459,Material Engineer - Jaffna (Road Project),Master Hellie's Engineering Consultants Ltd,Please refer the advertisement,Tue Jan 21 2020,,Tue Feb 04 2020,yellow
2789.0,729457,JUNIOR EXECUTIVE - LIFE UNDERWRITING (1),Softlogic Life Insurance PLC,Please refer the advertisement,Tue Jan 21 2020,,Fri Jan 31 2020,yellow
2790.0,729456,Heavy Vehicle Drivers,Shums & Company (Pvt) Ltd,Please refer the advertisement,Tue Jan 21 2020,,Tue Feb 04 2020,yellow
2791.0,729455,Executive Assistant to the General Manager,Pegasus Reef Hotel,Vacancies at Pegasus Reef Hotel,Tue Jan 21 2020,,Tue Feb 04 2020,yellow
2792.0,729454,Quantity Surveyor - Jaffna Road Project,Master Hellie's Engineering Consultants Ltd,Please refer the advertisement,Tue Jan 21 2020,,Tue Feb 04 2020,yellow
2793.0,729447,Export Documentation Executive (Male),Famous Pacific Shipping Lanka (Pvt) Ltd,Please refer the advertisement,Tue Jan 21 2020,,Tue Feb 04 2020,yellow
2794.0,729445,Marketing Coordinator (1),Mobizz Elite (Pvt) Ltd,Please refer the advertisement,Tue Jan 21 2020,,Fri Jan 31 2020,yellow
2795.0,729430,Executive Chef / Commi - I II III,Asriel Food Services (Pvt) Ltd,Please refer the advertisement,Tue Jan 21 2020,,Tue Feb 04 2020,yellow
2796.0,729428,Accounts Assistant,Usha Factory Excess (Pvt) Ltd,Please refer the advertisement,Tue Jan 21 2020,,Tue Feb 04 2020,yellow
2797.0,729423,Billing Clerk,Usha Factory Excess (Pvt) Ltd,Please refer the advertisement,Tue Jan 21 2020,,Tue Feb 04 2020,yellow
2798.0,729422,Accounts Assistant - Male,Colombo Agencies Limited,Please refer the advertisement,Tue Jan 21 2020,,Tue Feb 04 2020,yellow
2799.0,729421,General Manager (1),KPMG Executive Search Private Limited,Please refer the advert,Tue Jan 21 2020,,Tue Feb 04 2020,yellow
